article,link
CraftCMS.generate-transform.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57947
SAP.NetWeaver.Visual.Composer.Unauthenticated.File.Upload.RCE,https://www.fortiguard.com/encyclopedia/ips/57947
PLANET.Technology.Devices.dispatcher.cgi.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57947
Commvault.Command.Center.deployWebpackage.do.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/57947
Dell.EMC.iDRAC.CGI.injection.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57877
Nagvis.getHoverUrl.Arbitrary.File.Read,https://www.fortiguard.com/encyclopedia/ips/57877
GestioIP.upload.cgi.Remote.Command.Execution,https://www.fortiguard.com/encyclopedia/ips/57877
OpenRefine.JDBC.URL.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57877
PrestaShop.ndk_steppingpack.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57877
WordPress.Steveas.WP.Live.Chat.Shoutbox.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57877
phpMyFAQ.action.XSS,https://www.fortiguard.com/encyclopedia/ips/57877
Erlang.OTP.SSH.Server.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57877
RosarioSIS.PortalPollsNotes.fnc.php.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57877
DocsGPT.remote.api.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57877
