article,link
Adobe.Acrobat.CVE-2025-43573.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/58197
Adobe.Acrobat.CVE-2025-43574.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/58197
MS.Office.CVE-2025-47162.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58197
MS.Office.CVE-2025-47164.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58197
MS.Office.CVE-2025-47167.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58197
MS.Windows.KPSSVC.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58197
MS.Word.CVE-2025-32717.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58197
Roundcube.Webmail.upload.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58197
Cisco.IOS.XE.WLCs.JWT.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/58197
Fortinet.Products.hash.cookie.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58197
Internet.Brands.vBulletin.protectedMethod.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58156
Linksys.Devices.verifyFacebookLike.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/58156
TOTOLINK.A3002R.formDnsv6.routername.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58156
Ytti.Oxidized.Web.migration.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/58156
TOTOLINK.A3002R.dnsaddr.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58156
pyeve.Eve.where.OS.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/58156
Roundcube.Webmail.show.php.message_body.XSS,https://www.fortiguard.com/encyclopedia/ips/58156
Trojan.MintsLoader,https://www.fortiguard.com/encyclopedia/ips/58156
Grandstream.GSD3710.param.length.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58156
Apache.log4net.Configuration.Files.CVE-2018-1285.XXE,https://www.fortiguard.com/encyclopedia/ips/58156
WordPress.Plugin.Digits.OTP.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/58080
IBM.Data.Risk.Manager.SAML.idpSelection.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/58080
AMI.MegaRAC.SPx.CVE-2024-54085.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/58080
Vasion.Print.elatec_tcpconv2.php.ip_address.SSRF,https://www.fortiguard.com/encyclopedia/ips/58080
Vasion.Print.rfideas_241_install.php.ip_address.SSRF,https://www.fortiguard.com/encyclopedia/ips/58080
Tenda.AC10.formSetPPTPUserList.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58080
Tenda.FH451.formSafeEmailFilter.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58080
WordPress.Plugin.PDF.2.Post.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58080
MS.Office.CVE-2025-30386.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58080
Django.JSONField.CVE-2019-14234.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/58080
Geovision.DateSetting.cgi.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/58001
SysAid.API.jsp.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/58001
WordPress.Plugin.Kubio.AI.Page.Builder.Local.File.Inclusion,https://www.fortiguard.com/encyclopedia/ips/58001
SysAid.On-Premise.checkin.XXE,https://www.fortiguard.com/encyclopedia/ips/58001
SysAid.On-Premise.lshw.XXE,https://www.fortiguard.com/encyclopedia/ips/58001
SysAid.On-Premise.serverurl.XXE,https://www.fortiguard.com/encyclopedia/ips/58001
WordPress.OttoKit.st_authorization.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/58001
D-Link.Routers.file.data.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58001
D-Link.Routers.mrclfile_del.asp.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58001
D-Link.Routers.upnp_ctrl.asp.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58001
Cisco.Smart.Licensing.Utility.Static.Credential.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/57947
D-Link.Routers.ddns.asp.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57947
D-Link.Routers.pppoe_base.asp.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57947
D-Link.Routers.speedlimit.data.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57947
Yii2.Framework.__class.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57947
FoxCMS.index.html.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57947
