article,link
ACR.Stealer.Botnet,https://www.fortiguard.com/encyclopedia/ips/58151
Adobe.Acrobat.CVE-2025-43575.Out-of-Bounds.Write,https://www.fortiguard.com/encyclopedia/ips/58151
Adobe.Acrobat.CVE-2025-43576.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/58151
Adobe.Acrobat.CVE-2025-43577.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/58151
Adobe.Acrobat.CVE-2025-43578.Out-of-Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/58151
Adobe.Acrobat.CVE-2025-47112.Out-of-Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/58151
MS.Windows.CVE-2025-32713.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/58151
MS.Windows.Installer.Service.CVE-2025-32714.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/58151
MS.Windows.Netlogon.CVE-2025-33070.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/58151
MS.Windows.SDK.CVE-2025-47962.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/58151
MS.Windows.WebDAV.CVE-2025-33053.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58204
Adobe.Acrobat.CVE-2025-43550.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/58204
Katz.Stealer.Botnet,https://www.fortiguard.com/encyclopedia/ips/58204
Samba.Rsync.raw_read_buf.Checksum.Length.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58204
TOTOLINK.A3002R.formMapDelDevice.macstr.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58204
TOTOLINK.X15.formMapReboot.deviceMacAddr.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58204
ABB.Cylon.ASPECT.DeplomentServlet.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58204
ABB.Cylon.ASPECT.HTTPDownloadServlet.Arbitrary.File.Delete,https://www.fortiguard.com/encyclopedia/ips/58204
ABB.Cylon.ASPECT.logMixDownload.php.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/58204
ABB.Cylon.ASPECT.productRemovalUpdate.php.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/58204
EVERTZ.Devices.feature-transfer-download.php.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/58134
Cambium.cnPilot.syscmd.asp.Command.Execution,https://www.fortiguard.com/encyclopedia/ips/58134
RedisBloom.CMS.INITBYDIM.command.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58134
BlankGrabber.Botnet,https://www.fortiguard.com/encyclopedia/ips/58134
GNOME.Yelp.mal2html-svg.xsl.Arbitrary.File.Read,https://www.fortiguard.com/encyclopedia/ips/58134
Google.Chrome.V8.AddRecursiveGroup.Type.Confusion,https://www.fortiguard.com/encyclopedia/ips/58134
Google.Chrome.V8.InferMapsUnsafe.Type.Confusion,https://www.fortiguard.com/encyclopedia/ips/58134
Elastic.Kibana.Assistant.Integration.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/58134
Foscam.X5.UDTMediaServer.0x0C.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58134
Foscam.X5.UDTMediaServer.0x72.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58134
D-Link.DI-8100.ctxz.asp.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58071
TOTOLINK.A3002R.formDhcpv6s.interfacenameds.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58071
ZKTeco.BioTime.iclock.API.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/58071
Ivanti.EPMM.RSAPIV2.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/58071
D-Link.Routers.duaLogout.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/58071
Ollama.push.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/58071
Online.Car.Rental.System.changeimage1.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/58071
WordPress.BEAF.beaf_options_save.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/58071
WordPress.Plugin.URnM.MembersService.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/58071
F5.BIG-IP.iControl.REST.and.TMOS.Shell.save.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/58071
