article,link
Peplink.VPN-Firewall.service.cgi.Open.Redirect,https://www.fortiguard.com/encyclopedia/ips/56795
FTP.Username.XSS,https://www.fortiguard.com/encyclopedia/ips/56795
CIP.Scanner,https://www.fortiguard.com/encyclopedia/ips/56795
FG-VD-22-110_Sierra.0day,https://www.fortiguard.com/encyclopedia/ips/56795
Suspicious.JavaScript.Obfuscation.Packer,https://www.fortiguard.com/encyclopedia/ips/56795
IP.Protocol.Scan,https://www.fortiguard.com/encyclopedia/ips/56795
dotCMS.Portal.Multiple.XSS,https://www.fortiguard.com/encyclopedia/ips/56795
Arctic.Wolf.Scanner,https://www.fortiguard.com/encyclopedia/ips/56795
DNS.PTR.Records.Scan,https://www.fortiguard.com/encyclopedia/ips/56795
Adobe.Illustrator.CVE-2022-23198.Null.Pointer.Dereference,https://www.fortiguard.com/encyclopedia/ips/56795
Adobe.Illustrator.CVE-2022-23199.NULL.Pointer.Dereference,https://www.fortiguard.com/encyclopedia/ips/51016
Censys.io.Scanner,https://www.fortiguard.com/encyclopedia/ips/51016
Cisco.Webex.Out-of-Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/51016
Assetnote.Scanner,https://www.fortiguard.com/encyclopedia/ips/51016
Apple.Safari.WebKit.WebCore.AudioArray.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/51016
Ethernet.IP.Device.Scanner,https://www.fortiguard.com/encyclopedia/ips/51016
ISF.S7-1200.S7-1500.S7comm.Plus.Scanner,https://www.fortiguard.com/encyclopedia/ips/51016
ISF.S7-300.S7-400.S7comm.Scanner,https://www.fortiguard.com/encyclopedia/ips/51016
Magento.Login.Brute.Force,https://www.fortiguard.com/encyclopedia/ips/51016
Suspicious.PHP.URI.Location,https://www.fortiguard.com/encyclopedia/ips/51016
Nuclei.Vulnerability.Scanner,https://www.fortiguard.com/encyclopedia/ips/48922
HTTP.Suspicious.Headers.With.Special.Characters,https://www.fortiguard.com/encyclopedia/ips/48922
PostgreSQL.Login.Brute.Force,https://www.fortiguard.com/encyclopedia/ips/48922
MS.SQL.Server.Brute.Force.Login,https://www.fortiguard.com/encyclopedia/ips/48922
ffuf.Web.Fuzzer,https://www.fortiguard.com/encyclopedia/ips/48922
ZGrab.Scanner,https://www.fortiguard.com/encyclopedia/ips/48922
pplsip.SIP.Scanner,https://www.fortiguard.com/encyclopedia/ips/48922
DFind.Vulnerability.Scanner,https://www.fortiguard.com/encyclopedia/ips/48922
Generic.DNS.Tunnel.Detection.Variant.A,https://www.fortiguard.com/encyclopedia/ips/48922
FG-VD-19-040_Plex.Web.Client.0day,https://www.fortiguard.com/encyclopedia/ips/48922
Sweetscape.010.Editor.ReadWLine.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/48459
Dnscat2.DNS.Tunnel,https://www.fortiguard.com/encyclopedia/ips/48459
WSDirectory.UDP.Amplification.Detection,https://www.fortiguard.com/encyclopedia/ips/48459
Atlassian.Jira.Server.Dashboard.Config.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/48459
Joomla!.Component.Barter.Sites.Authenticated.XSS,https://www.fortiguard.com/encyclopedia/ips/48459
LANDesk.Management.Agent.Local.DoS,https://www.fortiguard.com/encyclopedia/ips/48459
Nessus.Scanner,https://www.fortiguard.com/encyclopedia/ips/48459
ThunderDNS.Tunnel,https://www.fortiguard.com/encyclopedia/ips/48459
Oracle.Java.JNLP.Arbitrary.File.Deletion,https://www.fortiguard.com/encyclopedia/ips/48459
Emby.Media.Server.DevicesOptions.CustomName.XSS,https://www.fortiguard.com/encyclopedia/ips/48459
ReGeorg.HTTP.Tunnel,https://www.fortiguard.com/encyclopedia/ips/47584
ReDuh.HTTP.Tunnel,https://www.fortiguard.com/encyclopedia/ips/47584
Netsparker.Web.Scanner,https://www.fortiguard.com/encyclopedia/ips/47584
WPScan.WordPress.Vulnerability.Scanner,https://www.fortiguard.com/encyclopedia/ips/47584
Jexboss.Toolkit.Request,https://www.fortiguard.com/encyclopedia/ips/47584
Broadcom.UPnP.Stack.SetConnectionType.Function.Format.String,https://www.fortiguard.com/encyclopedia/ips/47584
IBM.WebSphere.MQ.Login.User.ID.Brute.Force.Check,https://www.fortiguard.com/encyclopedia/ips/47584
Erlang.Port.Mapper.Daemon.Cookie.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/47584
UPnP.SSDP.M.Search.Anomaly,https://www.fortiguard.com/encyclopedia/ips/47584
MS.RPC.UTC.DoS,https://www.fortiguard.com/encyclopedia/ips/47584
